temperature,humidity,moisture,soil_type,crop_type,N,P,K,soil_pH,fertilizer
28.147623963803284,60.03786096861077,37.59500981719543,Black,cotton,40.970135849750946,46.04340305568248,48.251573580380196,6.3371894776603,Organic_Compost
38.60563424764524,71.18788838220627,49.09621978472904,Sandy,rice,50.15894724770972,34.77904019092268,41.7550215091279,6.11822194810621,NPK_19_19_19
26.680499486845452,56.01997822686548,41.839220878635665,Loamy,pulses,37.4983923173816,43.86066331179625,32.814447596252585,6.133366695991633,Organic_Compost
20.70565425128575,63.12941545561345,34.94274485974016,Red,sugarcane,54.54894472648907,21.987964161830178,46.92773829821867,7.0592727252943925,DAP
40.0,77.09690839660077,52.19690067826626,Red,wheat,32.84351160228234,52.506604198234896,43.48259812231965,6.519087606283195,Urea
27.5451182897374,71.75255544854014,39.85477228281983,Black,cotton,42.26283156672748,38.35933213935739,42.39426549317439,6.565824135480359,NPK_10_26_26
24.91596170905207,69.37721232008987,50.83458387438578,Clayey,wheat,51.692694297878916,43.45095335467709,40.605936039952574,6.5047196737367985,NPK_19_19_19
27.392576205205767,65.90337120960099,45.62035014879327,Black,sugarcane,50.481561544120396,18.727880987127755,38.63616354683542,7.1497057188668816,SSP
31.906418687264225,65.3853000723477,45.145435840250826,Red,rice,45.53587540521943,54.43429526246489,40.2738366891547,6.065806354291116,MOP
23.39289236329487,76.34357616606675,58.988623476839045,Red,pulses,33.63724064953864,50.95904703852388,46.31205405748754,6.493859755758777,Urea
25.22101554182491,78.27180645768121,52.170594844861384,Clayey,maize,29.84354076880219,53.85956154091914,48.19823862306721,6.058743755083638,Urea
25.065926180241092,65.8653338896164,38.62866294129878,Black,maize,60.875649480775415,22.109356758989712,46.211372811039034,6.6984113236118095,DAP
26.07966605366222,69.58068269214023,56.231024052532696,Clayey,rice,45.68419889945028,43.08150863028978,25.029888419651716,6.556712610203989,MOP
24.970676882427593,59.410268846144064,46.248685137998756,Clayey,rice,40.713794698238075,47.50930725714309,42.638188731214946,5.952339043718508,Organic_Compost
22.76393404041204,63.75838925693796,51.35093421667277,Sandy,wheat,45.04460296903481,55.500979113340144,53.741469144716696,7.426570461483747,Zinc_Sulphate
21.50583181191787,64.0072146666963,36.52001908718664,Loamy,sugarcane,43.761184216757236,41.680061187201716,40.12413895944797,6.095855174583033,NPK_10_26_26
30.035151760672377,70.94764421104864,39.232213033587925,Loamy,pulses,45.313309861927,35.2667456356159,41.878767217904034,6.282680415478154,NPK_10_26_26
35.213124679563,69.39824473267846,48.06151529137461,Clayey,cotton,48.41850921546637,47.64444765807998,22.475131284155708,6.760783495086612,MOP
31.585638640467455,64.93353893308547,45.72862715439359,Red,sugarcane,48.38340861550038,52.910619699464014,51.24404700687507,7.984753592186076,Zinc_Sulphate
27.53935504047051,75.35949851780717,48.37445118970604,Loamy,wheat,32.070084949153845,48.47905788963996,45.21398555187155,6.2985964386918205,Urea
25.430978539112107,67.1644049536921,42.50229544885915,Clayey,rice,55.629102984818005,29.501155505758796,51.62366135833561,6.607532652745637,DAP
19.153330282420956,59.695439787411665,36.16509176007366,Black,sugarcane,57.633577691100434,18.606945891361065,49.7186779591842,6.6982680145756275,DAP
25.79004845368653,63.158334976002045,45.97820419322478,Red,wheat,45.27316505636971,27.2009531706492,41.598670326573995,5.968551164782312,NPK_10_26_26
20.947080666699733,59.95543455971336,41.02458447590894,Black,pulses,50.722459957058824,15.860979195965527,46.29047311781396,7.243251561017358,SSP
27.09164195775407,76.29631413772884,49.51751825965036,Red,sugarcane,51.859760069636174,42.20996506802723,42.71366352504724,6.263259109388115,NPK_19_19_19
32.48849091158819,76.75737349106636,47.32370449288229,Red,wheat,44.63119335814224,46.81372013685013,49.05879455179455,7.707021324754533,Zinc_Sulphate
34.24124366130872,80.30958785919255,55.83936430973794,Loamy,maize,33.874836687648056,46.86477701508988,49.735946474511245,6.210912353665703,Urea
32.098815592007604,73.07888168231412,52.187938649447005,Clayey,wheat,52.79179425918968,42.4329010653297,50.175643388524605,6.494496998266134,NPK_19_19_19
19.400077151315543,66.98764354741247,40.811975559886235,Sandy,cotton,59.25143590834268,30.987299542455556,44.74655239887762,6.576632066124146,DAP
29.095537643204764,73.61385788363398,45.47178493527834,Black,cotton,51.34655360940862,37.33499707350038,36.374905721470526,6.43884358095308,NPK_19_19_19
23.60221047648203,67.67715751866481,44.11346086946493,Sandy,sugarcane,44.98477082115126,41.54544446876789,26.14595151719623,6.5338169014104635,NPK_10_26_26
19.018660061253303,68.40822626152814,42.466303561570264,Loamy,maize,39.32688848272684,46.74016255239301,41.443061282448035,6.349833686545962,Organic_Compost
27.70187578587251,69.45889038720529,48.03073269298936,Clayey,pulses,48.626471998571574,42.90922206699077,24.940367911211816,6.458588492685955,MOP
26.303955273861614,58.400394596599824,48.63014208725422,Loamy,wheat,43.96568554229171,49.98893453006559,51.972531709791994,7.972460917016181,Zinc_Sulphate
25.46200993317977,59.78164833671687,33.736505475629535,Clayey,rice,54.491936861023966,19.145081958748534,46.94773768818408,7.056453930350704,DAP
23.814411811629014,75.51397674714522,41.91699978738693,Clayey,wheat,44.00571714487406,41.551805010649,29.635004070014002,6.51243824804703,NPK_10_26_26
21.30627981021049,55.68255499478822,41.40143144432924,Clayey,rice,48.79195623761452,28.075832632769725,49.188170647989956,7.05514260442946,SSP
26.995032906560137,68.82336636538203,36.82273878644043,Sandy,maize,56.54962663559023,25.90439901708469,45.060379830889744,6.980745398542101,DAP
20.237198213510634,62.964951000391835,30.481068474004026,Black,cotton,57.670595672546014,20.14362797148747,45.79094659734777,6.891782999544247,DAP
29.032518635556904,66.30073781995456,49.023267533469344,Red,pulses,49.76188372094433,41.003020161724926,41.31500621643779,6.477180332622951,NPK_19_19_19
19.930292701983323,67.53516765738144,34.35838416027394,Black,rice,60.790266917098876,22.27223407829815,36.04889012413217,7.016308193855196,DAP
24.202326725787163,68.42897416295304,29.28785385550096,Red,pulses,55.588774111404334,19.47491094546129,39.712689413343405,6.984033880548325,DAP
23.75741373296326,70.47998014643677,45.51004654249998,Black,cotton,44.08840462161919,49.74497876740268,33.21946581032127,6.5878723411556,MOP
25.843863534488847,74.43633139741567,48.54040053823589,Sandy,pulses,50.111995923942196,47.85919364160664,22.93916113038222,6.44715675437332,MOP
21.0949357757617,64.64031990691028,42.29280959058157,Loamy,sugarcane,38.07210427201223,46.52278909131649,40.25850648963791,6.333797245887467,Organic_Compost
26.53230614354686,61.46857940128865,45.59149403683671,Red,wheat,37.02059108197095,43.00017576189818,36.02803055020282,6.288925213101476,Organic_Compost
22.771309415744994,72.75450708935222,52.22901188245298,Red,cotton,30.83336413425504,51.859458731536826,48.15969520810297,6.276552322981363,Urea
19.247461801050644,63.904879774220625,41.825050077136794,Clayey,wheat,56.235700618231846,14.847803364652037,44.51636014406785,6.607374802879679,DAP
27.000133176922674,71.34131578031507,52.63588741686626,Sandy,cotton,32.171941771913986,49.72501078236762,45.115367908125684,6.126737780320218,Urea
27.6845845365166,59.83711074425324,44.17373225217378,Clayey,wheat,41.9498926899843,41.82400127560324,42.74558774926931,6.2800439426166,Organic_Compost
23.286062789530817,61.640240110119066,43.63693070754828,Sandy,wheat,45.14685145310618,40.77173615075331,35.311309804508845,6.0419530663164105,NPK_10_26_26
24.29111506558477,62.71402056634009,45.00719921419011,Black,rice,52.53615748694871,19.614705585822072,42.53635082394416,6.8728130231912345,SSP
18.781538707113988,66.13917043319027,35.00932402096218,Sandy,cotton,58.36326055200111,19.767847702553382,46.76387106629242,6.81134932865964,DAP
29.85009555931849,72.18133060492278,54.105736979724156,Black,cotton,32.12996069350361,45.65924063859765,48.33408107039164,6.022953682053604,Urea
21.769496126873346,68.21896881854946,36.986066890733134,Black,pulses,57.343301979282515,24.21417649708749,46.93213533346437,6.903826226472185,DAP
25.536617604494218,64.34930455795879,45.07482235495584,Loamy,sugarcane,43.61309894003777,52.1242262439537,59.40357469374411,7.635866935364338,Zinc_Sulphate
27.856203766988603,75.02256374476539,53.334358477039146,Clayey,rice,51.963466723326476,44.02407707007694,39.67349349367205,6.533384256386324,NPK_19_19_19
