N,P,K,temperature,humidity,ph,rainfall,crop
3.840663525657675,49.68670645913852,21.722967184409903,20.298207583945302,64.33149827666185,6.321968351051154,101.85772626150779,kidneybeans
105.73945152650793,67.4556942533919,62.37948634987012,32.898098756399534,78.20383188619608,6.970408074618225,112.8291347011523,cotton
14.174261763756675,41.242158839228445,8.714064552907153,25.16373151249863,75.51046307639577,6.622911481445406,170.40916106028703,kidneybeans
107.21173044679105,37.6928296806766,40.70419127327289,20.4713990500697,75.77915257801386,5.979471121410516,167.9995794051604,rice
26.22238004331378,56.370014262915745,19.103546065583537,30.24085962302213,63.09265596914409,6.806576234436108,54.34536159309197,blackgram
136.71386219180363,45.167624572619474,49.95765831663531,28.461393041608606,80.69943462512919,6.628262511935013,71.71247568542286,cotton
50.22763188189501,46.02594857130307,100.08077184544095,33.17340670375621,76.87672374584353,5.7765497774560055,107.24260347021698,sugarcane
27.682664763282816,64.4073324914121,23.41075377337739,27.59082466835607,66.98130063106038,5.97398651846794,94.46650657709677,mungbean
94.2677917876591,53.26165196430975,34.603949743934315,18.330629021108408,53.25088455747766,7.02150391324505,67.58096311361828,wheat
39.89467869380064,81.97418771378943,29.72111378774016,30.232729821347057,74.16271544427283,6.422882821489672,62.02238505671716,blackgram
14.390152718846876,55.873436762533316,37.926606484755624,29.549102320765524,80.21115435281588,7.188194341376957,56.33987315266506,mungbean
78.49989163616507,62.81455547658973,32.56411771187436,21.53324994812904,83.61844953464954,6.4955348166698625,205.39991194462308,rice
78.99500937347632,48.0552520522431,47.376218692898334,25.491972478935903,80.17791089417679,6.237958894320515,91.1952820261409,maize
23.262771276279977,75.95716225385854,25.79606143446111,13.216170766124309,69.26614151991973,7.255552787696871,88.54518695790716,chickpea
39.92213185021197,85.214234891089,14.480935351984073,17.39201161204947,42.577818542686515,6.757818056287462,109.79784995425833,lentil
138.84652320862818,37.82499577771773,37.619882771201205,24.761269838988245,75.92609387654285,7.734128714915599,10.336406367233081,cotton
105.43676666233029,48.009792744381585,41.582970372179155,30.88136523241501,66.93494502610454,7.276895838519145,65.97229516670657,cotton
132.0621463383234,57.15958476767844,42.846435113117025,23.112045222964962,56.92827217929398,6.644634427253435,77.28407566576831,wheat
23.769362197311782,82.33813133273962,30.140503406380855,11.690349144546296,57.150363582430586,6.87549064708524,12.464952811180666,lentil
31.615778245594917,71.21549361026017,24.058154966306624,34.550240299967854,62.67928602718798,6.892497692920731,115.38717356844207,blackgram
86.99186290385248,65.32311605409944,51.774118889776936,25.317260036788728,95.95147620934233,6.353647605558405,233.97958618789707,rice
79.16241457085435,34.66525681265799,25.281876486758144,25.695460136429308,61.18489347958649,6.271893684436441,188.26709297861615,rice
126.14275094459092,65.74451394809458,54.85521488644298,23.48461617198804,63.70609551725358,7.147507759194368,69.54013272949774,cotton
